//--------------------------------------------------------------------------------------
// GENÉRICO
//--------------------------------------------------------------------------------------
gen_err												=错误
lgn_lblsenha										= 密码
lgn_lblversion										= 版本
lgn_lblbuild										= 建立
lgn_usuario_nao_autenticado							= 无法对用户进行认证。检查用户名和密码进入。
lgn_sesion_activa									= 作为一个有效的会话存在无法登录的用户。
lgn_msgerrogenerico									= 在应用程序中有一个错误。
lgn_validar_usuario									= 应告知用户。
lgn_validar_chave									= 必须输入密码。
lgn_validar_puesto									= 该职位应予以通报。

//--------------------------------------------------------------------------------------
// ASOCIAR FORMATO DE TIRA A CAJERO/RED
//--------------------------------------------------------------------------------------
ATM_001_titulo											= 加入初具规模Cajero /红
001_grbtira											= 条
001_grbcajerotira									= 型号Cajero /网络
001_grbtipo											= 类型
001_lblcajerored									= 型号Cajero /网络
001_rdbcajero										= 型号Cajero
001_rdbred											= 网络
001_msg_tipo_vacio									= 必须有一个类型。
001_lbl_archivo_corrompido							= 文件可能已损坏
001_msg_tiras_vacio									= 有剥夺协会的格式。
001_msg_gravar										= 提拉成功！
001_msg_003											= 无法关联带钢。
001_msg_seleccionar_tira							= 应该选择一个警察

//--------------------------------------------------------------------------------------
// FORMATO DE TIRA MSG
//--------------------------------------------------------------------------------------
002_MSG001											= 有一个以上的带材，用于记录在相同的设置面积！
002_MSG002											= 设置字段“{0}”是不完整的！
002_MSG003											= 字段{0}和/或{1}！
002_MSG005											= 真的要删除带格式？
002_MSG006											= 无格式带现金！
002_MSG007											= 应该被插入分配器中的至少一个控制盒和一个字段！
002_MSG008											= 应插在存款/货币和货币字段（金额或数量）！
002_MSG009											= 带必须有这些领域之一：（掌柜，门票/存款，卡）！
002_MSG010											= 带应该有一个数组饮水机领域“总计”！
002_MSG011											= 地带DUPA类型不能有{0}！
002_MSG012											= 请删除总场矩阵分配器！
002_MSG1											= 真的想改变带钢的格式？
002_MSG2											= 的格式的带材已成功修改！
002_MSG3											= 带钢格式已成功创建！
002_MSG4											= 带钢格式被成功删除！
002_MSG5											= 只能有这样的面积！

//--------------------------------------------------------------------------------------
// PANTALLA FORMATO DE TIRA LISTAGEM
//--------------------------------------------------------------------------------------
ATM_002_titulo											= 屏幕格式注册表地带
002_grbCriterioBusca								= 搜索条件
002_grbFormatoTira									= 格式地带
002_lblDescripcionFormato							= 描述格式
002_cbxVigente										= Vigente

//--------------------------------------------------------------------------------------
// PANTALLA FORMATO DE TIRA AMB
//--------------------------------------------------------------------------------------
002_titulo2											= 保持格式地带
002_lblDescripcionCorta								= 代码格式
002_lblDescripcionLarga								= 描述格式
002_lblImagen										= 图像
002_btnProcurar										= _Procurar ...
002_cbxEstandar										= 标准
002_lblComboNavegacion								= 导航
002_cbiHorizontal									= 横
002_cbiVertical										= 垂直
002_cbiCajetin										= 盒式磁带
002_lblExhibicionTira								= 显示地带
002_lblCuadreTira									= Quadre地带
002_lblTipoTira										= 类型地带
002_rbtnCajetin										= 盒式磁带
002_rbtnDenominacion								= 面值
002_rbtnValorFacial									= Valor Facial
002_cmbITipoTiraSimple								= 简单地带
002_cmbITipoTiraDoble								= 双地带

//--------------------------------------------------------------------------------------
// PANTALLA FORMATO DE TIRA AMB UC DISPENSADORES
//--------------------------------------------------------------------------------------
002_lblDispensadores								= 掌柜
002_cbxBilletes										= 笔记
002_cbxMonedas										= 硬币
002_rbtnCantidad									= 量
002_rbtnImporte										= 总和
002_cbxCajetinInfinito								= 墨盒无限
002_btnCarga										= 加载
002_btnCargaSTD										= 标准负载
002_btnAdicion										= 附件
002_btnDisminucion									= 减少
002_btnDispensados									= 豁免
002_btnRechazados									= 拒绝
002_btnRemanentes									= 其余
002_btnTotal										= 总

//--------------------------------------------------------------------------------------
// PANTALLA FORMATO DE TIRA AMB UC IngresosDepósitos
//--------------------------------------------------------------------------------------
002_lblIngresosDepositos							= 货币/信封
002_rbtnDepositos									= 存款
002_rbtnIngresos									= 钱
002_btnDivisa										= 货币
002_btnTipoMedioPago								= 键入支付一半货款
002_btnCantSobres									= 量
002_btnImporte										= 总和

//--------------------------------------------------------------------------------------
// PANTALLA FORMATO DE TIRA AMB UC Tarjetas Retenidas
//--------------------------------------------------------------------------------------
002_lblTarjetasRetenidas							= 保留卡
002_lblPeriodoContable								= 期间可计算
002_lblFecha										= 日

//--------------------------------------------------------------------------------------
// REGISTRO DE TIRA MSG
//--------------------------------------------------------------------------------------
003_MSG_CONTINUAR									= 要继续吗？
003_MSG001											= 不同形貌的研究！
003_MSG003											= 牌照的价值和申报价值之间是有区别的。
003_MSG005											= 有没有资格挂起寄存器需要到ATM！
003_MSG006											= 只有一个有资格申请补偿。要注册此设置的条？
003_MSG009											= 条信息汇总，注册成功！
003_MSG012											= 无法注册数据条，因为剩下的声明价值不匹配，真的应该按照规定等领域！
003_MSG015											= 形态有强制的ATM！
003_MSG016											= 有没有资格挂起寄存器肩带ATM，所以带钢将不会与任何资格。要继续吗？
003_MSG017											= 没有记录以前绘制，这需要总不会被证明。
003_MSG018											= 付款方式（另外2条），只能选择一个许可证。
003_MSG019											= 在加沙地带，你要注册有差别。要注册带钢即使有差异吗？
003_MSG020											= 它是强制性的，选择一个许可证。
003_msg021											= 无法关闭屏幕聚会的形式，增加2条。
003_MSG022											= 带材与该ATM格式不符合他们的激活方法。
003_MSG023											= 内部差异条，总金额Cajeros不相吻合。
003_MSG024											= 生于值不匹配在前面的货物带记录的值。
003_MSG025											= 带材中的差异，则该值不匹配记录，可在前面的货物吊带生于值。
003_MSG026											= 地带的不匹配，不匹配值加载已注册的评级。
003_MSG027											= 的值与correponde加载不预期根据ATM地带放电武装和数量。
003_MSG028											= 的内条带的差异，和的总数量在Cajeros不匹配。要继续吗？
003_MSG029											= 加载的值不符合预期的武装和第二数量的ATM条状放电。要继续吗？
003_MSG031											= 有更多的认证申请登记条。请选择学历相当于这个记录带。

//--------------------------------------------------------------------------------------
// PANTALLA REGISTRO DE TIRA Identificar ATM
//--------------------------------------------------------------------------------------
ATM_003_titulo											= 识别ATM
003_lblCodigoATM									= 代码自动柜员机
003_lblCliente										= 顾客
003_lblSubCliente									= 子客户端
003_lblPontoServico									= 服务点
003_gbxAtm											= 自动取款机

//--------------------------------------------------------------------------------------
// PANTALLA REGISTRO DE TIRA - Registrar Tira
//--------------------------------------------------------------------------------------
003_titulo2											= 注册地带
003_btnRegistrarTira								= _Registrar地带
003_btnCambiarHabilitacion							= 启用_Trocar的
003_cbxTiraTelefono		 							= 剥去通过电话记录吗？
003_lblTiraCarga									= 剥去加载
003_lblTiraDescarga									= 地带放电
003_btnMsgRegistrarTira								= 是
003_btnMsgVerificarDatos							= 不

//--------------------------------------------------------------------------------------
// PANTALLA REGISTRO DE TIRA AMB UC Dispensadores Registro
//--------------------------------------------------------------------------------------
003_tituloConunaZeroCajetin								= 盒式磁带
003_tituloConunaZeroCampos								= 领域

//--------------------------------------------------------------------------------------
// PANTALLA REGISTRO DE TIRA AMB UC Tarjetas Retenidas Registro
//--------------------------------------------------------------------------------------
003_lblTarjetasRetenidas							= 保留卡
003_lblCantidadRetenidas							= 量

//--------------------------------------------------------------------------------------
// PANTALLA REGISTRO DE TIRA AMB UC Periodo Contable
//--------------------------------------------------------------------------------------
003_lblPeriodoContable								= 期间可计算

//--------------------------------------------------------------------------------------
// PANTALLA REGISTRO DE TIRA AMB UC Fecha
//--------------------------------------------------------------------------------------
003_lblFecha										= 日
003_lblFechaInvalida								= 输入的日期是有效的。
003_lblFechaVazio									= 应该被告知的日期字段。
003_ValidarFechaRegistroTira						= 你需要采取一个组件设置的日期类型。

//--------------------------------------------------------------------------------------
// PANTALLA REGISTRO DE TIRA AMB UC Grid Habilitacion 
//--------------------------------------------------------------------------------------
003_dgchCajetinesDisp								= 墨盒掌柜
003_dgchTotales										= 总计
003_dtgHabIdentificador								= 识别码
003_dtgHabDivisa									= 货币
003_dtgHabDenominacion								= 面值
003_HabInventario									= 库存股
003_HabPrecinto										= 密封问题
003_HabCantidad										= 量
003_HabHabImporte									= 总和
003_HabTotales										= 总计
003_grbHabilitacion									= 许可证

//--------------------------------------------------------------------------------------
// PANTALLA LISTAR HABILITACIONES PENDIENTES
//--------------------------------------------------------------------------------------
003_titulo3											= 待补偿的资格名单
003_dtgCodMorfologia								= 形态学
003_dtgRemesaSalida									= 运输
003_dtgFecha										= 日
003_dtgImporte										= 总和

//--------------------------------------------------------------------------------------
// PANTALLA INTERVENCIONES SUPERVISOR
//--------------------------------------------------------------------------------------
004_lbl_titulo										= 干预监事
004_lbl_usuario										= 用户
004_lbl_contrasena									= 密码
004_btn_aceptar										= 接受
ATM_004_btn_cancelar									= 取消
004_msg_operador_actuar_supervisor					= 操作员不能担任监事。
004_msg_login_supervisor_fallo						= 无法对用户进行认证。检查用户名和密码。
004_msg_informar_otro_usuario						= Deberá ser informado credenciales de otro usuario.

//--------------------------------------------------------------------------------------
// PANTALLA DESCUADRE TIRA
//--------------------------------------------------------------------------------------
005_lbl_titulo										= 差异地带
005_lbl_cajetin										= 盒式磁带
005_lbl_declarado_tira								= 宣布地带
005_btn_aceptar										= 接受
005_btn_conferir_registracion						= 检查记录

//--------------------------------------------------------------------------------------
// PANTALLA DESCUADRE TIRA UC DescuadreDetalle
//--------------------------------------------------------------------------------------
005_lbl_cajetin_denominacion_cajetin				= 盒式磁带
005_lbl_cajetin_denominacion_denominacion			= 面值
005_lbl_carga_atm									= 自动柜员机
005_lbl_automatico									= 自动
005_lbl_manual										= 手册
005_lbl_diferencia									= 差异
005_lbl_dispensado									= 豁免
005_lbl_remanente									= 其余
005_lbl_rechazo										= 击退
005_lbl_carga_std									= 加载性病
005_lbl_adicion										= 增加
005_lbl_diminuicion									= 减法
005_lbl_tipo_diferencia_manual						= *不同地带（手动负载）
005_lbl_tipo_diferencia_automatica					= *不同地带（自动加载）
005_lbl_tipo_diferencia_manual_automatica			= *不同地带的（货运自动和手动）
005_lbl_total										= 总

//ucFiltroMantenimientoTira
006_cliente											= Cliente
006_sub_cliente										= SubCliente
006_pto_servicio									= Punto de Servicio
006_atm												= ATM
006_fecha_registro_inicio							= Fecha Registro Inicio
006_fecha_registro_fin								= Fecha Registro Fin
006_fecha_tira_inicio								= Fecha Tira Inicio
006_fecha_tira_fin									= Fecha Tira Fin
006_cliente_no_hay_cliente							= No hay un cliente con este código.
006_cliente_no_hay_subcliente						= No hay un subcliente con este código.
006_cliente_no_hay_ptoServicio						= No hay un punto de servicio con este código.
006_filtro											= Filtro

//--------------------------------------------------------------------------------------
// PANTALLA MANTENIMIENTO DE TIRA
//--------------------------------------------------------------------------------------
ATM_007_titulo											= Mantenimiento de Tira
007_modificar_tira									= Modificar Tira
007_eliminar_tira									= Eliminar Tira
007_salir											= Salir
007_buscar											= Buscar
007_fecha_seleccionada								= Al menos un rango de fechas completo debe ser seleccionado.
007_seleccionar_atm_cliente							= Debe seleccionar ATM o Cliente/Subcliente/Punto de Servicio.
007_fecha_inicio_mayor								= Fecha de inicio mayor que la de fin.
007_modificar_conteo_asociado						= Existe al menos un conteo asociado a esta tira, sólo podrá ser  modificada desde la apliación supervisor.
007_eliminar_conteo_asociado						= No se puede eliminar la tira porque hay un conteo asociado. Debe eliminar el conteo desde la aplicación Supervisor para poder eliminar la tira.
007_no_hay_registro_seleccionado					= No hay ningún registro seleccionado.

//--------------------------------------------------------------------------------------
// CONTROLE ucListaTirasPaginada
//--------------------------------------------------------------------------------------
008_dtgColumnaATM									= ATM
008_dtgColumnaFechaTira								= Fecha Tira
008_dtgColumnaFechaRegistro							= Fecha Registro
008_dtgColumnaCliente								= Cliente
008_dtgColumnaSubCliente							= Subcliente
008_dtgColumnaPuntoServicio							= Punto Servicio
008_lblPagina										= Pagina
008_lblPaginaTotal									= de

//--------------------------------------------------------------------------------------
// CONTROLE popupBuscaSimples
//--------------------------------------------------------------------------------------
ATM_009_btnbuscar = 搜索
ATM_009_btnlimpiar = 清理
ATM_009_btnaceptar = 接受
ATM_009_btnsalir = 出去
// ************* TELAS *************

//PARAMETROS
error_version_archivo_puesto_invalido				=后参数的文件版本是无效的。文件版本是{0}。预期的版本是{1}。 
error_version_archivo_negocio_invalido				= 业务参数的文件版本是无效的。文件版本是{0}。预期的版本是{1}。如果您继续使用该程序的文件将被替换。要继续吗？ 
error_formato_archivo_puesto_invalido				= 文件格式是无效的参数集。 
error_formato_archivo_negocio_invalido				= 业务参数的文件格式是无效的。 
error_ruta_archivo_saldo_inexistente				= 参数RutaSaldo没有被告知，不能生成的文件中的位置的平衡，或检索。 
error_crear_ruta_archivo_saldo						= 无法创建目录“{0}”参数设置为RutaSaldo。 
msg_parametros_actualizados							= 参数更新！ 
error_parametro_xml_mal_configurado					= 参数'{​​0}“中不包含的名称，地址和有效的XML文件。 

//------------------------------------------------------------------------------------------------------------
// Genéricos
//------------------------------------------------------------------------------------------------------------

001_version 										= 版本
gen_remessa											= 装船 
gen_bulto											= 袋 
gen_parcial											= 局部的 
gen_remessas										= 汇款 
gen_bultos											= 袋 
gen_parciais										= 局部的 
gen_efectivo										= 有效 
gen_cheque											= 查 
gen_ticket											= 票 
gen_otros											= 其他值 
gen_tarjetas										= 卡
gen_total											= 总 
gen_total_tarjeta									= Total Tarjeta
gen_msg_naoencontrado								= Registro no encontrado.
btnFechar											= Cerrar
btnFiltrar											= Filtro

//FORM BASE
CONTEO_base_lbl_centro										= 现金管理 

//TELA LOGIN
CONTEO_018_login_titulo									= 用户标识 
018_login_lbl_usuario								= 用户 
018_login_lbl_puesto								= 邮寄 
018_login_lbl_chave									= 关键 
018_login_btn_aceptar								= &进入 
018_login_btn_cancelar								= &取消 
CONTEO_018_usuario_nao_autenticado							= 无法对用户进行认证。检查用户名和密码进入。 
CONTEO_018_sesion_activa									= 作为一个有效的会话存在无法登录的用户。 
018_validar_usuario									= 应告知用户。 
018_validar_chave									= 必须输入密码。 
018_validar_puesto									= 该职位应予以通报。 
CONTEO_018_validar_usuario_logado							= 无效访问 - 用户应该被告知，它是连接后，会话过期之前。 
018_version 										= 版本 
018_SupervisorContadorSinPermiso					= 监事作为计数器私自做的程序。另一个监事必须被告知。 
018_sector_sin_permiso								= 用户'{0}“{1}”这篇文章已经配置了该部门的允许。 

//TELA PAUSA
019_pausa_titulo									= 块计数之旅 
019_pausa_lbl_usuario								= 用户 
019_pausa_lbl_puesto								= 邮寄 
019_pausa_lbl_chave									= 关键 
019_pausa_btn_aceptar								= ＆登录 
019_pausa_btn_cancelar								= 与取消 
019_usuario_nao_autenticado							= 无法对用户进行认证。检查用户名和密码进入。 
019_validar_usuario									= 应告知用户。 
019_validar_chave									= 必须输入密码。 

//TELA PRINCIPAL
029_titulo_principal								= 主屏幕 
029_btn_clasificacion								= C＆分类（ALT + L） 
029_btn_recuento									= 计数（F3） 
029_btn_sair										= 退出（F11） 
029_btn_recuento_parcial							= Contagem Sangriga(F12)
029_msg_sempermissao								= 用户私自 
029_msg_arquivo_nao_encontrado						= 文件{0} {1}！ 
029_titulo_divisa									= 座右铭 
029_titulo_calidade									= 质量 
029_btn_categorizacion							    = 分类（F6） 
029_msg_codigo_conteo_clasificacion = 计数或分类管理旅游代码的代码作业类型不匹配的类型出色的工作正在进行中。请正确配置代码作业类型中邮管理。 

//TELA ENTREGA DE VALORES
006_frm_titulo										= 交货值
006_lbl_cliente										= 顾客 
006_lbl_Delegacion									= 代码代表团 
006_lbl_localtrabalho								= 职场 
006_lbl_puesto										= 邮寄 
006_lbl_numnovoprecinto								= 新的密封号 
006_gb_dadosremint									= 内部出货数据 
006_gb_valoresentregar								= 款项交付 
006_chk_cheques										= 提供C＆heques的 
006_chk_tickets										= 交付＆T ickets 
006_chk_outros										= 交付及其他 
006_chk_tarjetas									= 提供Cartões的 
006_chk_falsos										= 与假 
006_chk_todo										= ＆一切 
006_btn_multiprecinto								= 中号ULTI与密封 
006_btn_aceptar										= 与确认 
006_btn_volver										= CANCE&L的 
006_colcantidad										= 量 
006_colimporte										= 值 
006_msg_titulomensagem								= 注意 
006_msg_naoentrega									= 有值以交付 
006_msg_error_valor_negativo						= Error inexperado al intentar entregar los valores. Para no generar valores negativos, la pantalla va ser actualizada. Favor verificar los valores.
006_semvalorinformado								= 没有输入值的交付 
006_deseja_entregar_valores							= 交货的顺利开展！要继续创造价值吗？ 
006_sucessoentrega									= 圆满完成Utterness！ 
006_confirma_ticket_impression						= 要打印准考证交货值吗？ 
006_chk_cedulamult100								= 普莱斯的100多 
006_erro_ticket_impression							= 无法打印准考证交货值。 
006_lbl_cheques_ticket_impression					= 支票簿 
006_lbl_tickets_ticket_impression					= 门票 
006_lbl_outros_ticket_impression					= 其他 
006_lbl_tarjetas_ticket_impression					= 牌 
006_destino_nao_informado							= 目标参数，无需配置：{0} {1} 
006_colTipoMedioPagoTicket							= 门票种类 
006_colTipoMedioPagoCheque							= 货币支票 
006_colTipoMedioPagoOtros							= 键入其他值 
006_colTipoMedioPagoTarjetas						= 卡类型 
006_colEntregue										= 交付 
006_lbl_totalEntregar								= 总交付 
006_msg_precinto_obrigatorio						= 密封件的数量是必需的。 
006_Gerar_Codigo									= 将会产生一些新的密封。 
006_msg_entrega_obrigatoria							= 它是强制性的交付价值。 
006_aba_cheque										= 查 
006_aba_ticket									    = 票 
006_aba_otro_valor								    = 另一种价值 
006_aba_tarjeta									    = 卡 
006_cod_tipo_procesado_bulto					    = CodTipoProc1 
006_des_tipo_procesado_bulto					    = DesTipoProcesado1 
006_cod_caracteristica_tipo_procesado				= CodCarac004 
006_des_caracteristica_tipo_procesado				= 由Remesa禁忌 
006_lbl_impressora									= 打印机 
006_msg_selecionar_impressora						= 选择打印机 
006_msg_codigo_barra_invalido						= 条码无效。确保报告在院内有没有无效字符。 
006_msg_imprimir_sin_codigo_barra					= 你不能生成条形码密封告知不带条码打印？ 
006_chk_entrega_buenos								= ，其中噶尔＆门票/硬币不会下降 
006_chk_entrega_deteriorados						= 提供机票/硬币恶化 
006_lblPuestoMecanizado								= 机械化后
//TELA MAIS DE UM BULTO
021_TituloPantalla									= 超过小袋 
021_TituloPantallaConteoRemesa						= 计数每票快件 - 读袋 
021_IdentificadorRemessa							= 托运识别 
021_PrecintoRemessa									= 密封出货 
021_DeclaradoTotal									= 总 
021_DeclaradoEfectivo								= 有效 
021_DeclaradoCheque									= 查 
021_DeclaradoTicket									= 票 
021_DeclaradoOtroValor								= 另一种价值 
021_PrecintoBulto									= 密封袋 
021_DatosRemessa									= 数据出货 
021_DeclaradoTotalRemessa							= 宣布总计 
021_ConfirmarPrecintoBulto							= 确认密封袋 
021_DatosBultos										= 资料袋 
021_SecuenciaBulto									= 袋 
021_PrecintoBultoLeido								= 阅读密封袋 
021_Aceptar											= 接受＆ 
021_Volver											= ＆返回 
021_BultoNoEncontrado								= 袋不属于知情送货。 
021_InformarTodosPrecintos							= 所有密封件货物应予以通报。 

//TELA INFORMACIONES
002_form_informaciones								= 信息 
002_info_remesa										= 信息。装船 
002_declarado_remesa								= 申报一批 
002_declarado_bulto									= 申报袋 
002_declarado_parcial								= 宣布部分 
002_dados_remesa									= 汇款数据 
002_identificador									= 识别码 
002_precinto										= 密封 
002_estado											= 州 
002_numbultos										= 号袋 
002_dados_bulto										= 资料袋 
002_numtransporte									= 交通号 
002_fechatransporte									= 数据传输
002_dados_parcial									= 部分数据
002_btnarchivosasociados						    = 相關文件
002_btnproximo										= ＆下一页 
002_btnanterior										= 和以往 
002_numparcialesbulto								= 无偏 
002_btntotalconteo									= 与总 
002_btnvolverinfo									= ＆返回 
002_msg_datos_grabados								= 数据保存成功 
002_msg_paricalsinarchivo							= No hay ningún archivo asociado al parcial.

//TELA RECUENTO
001_tituloconteo									= 算 
001_bancoingreso									= 银行流程 
001_bookproceso										= 过程 
001_subcanal										= 子信道 
001_chequecontado									= 检查计数 
001_cliente											= 顾客 
001_efectivocontado									= 有效计数 
001_numeroparcial									= 部分数 
001_otrovalorcontado								= 另一种价值 
001_precintobulto									= 密封袋 
001_precintoparcial									= Sangria
001_puntoservicio									= 服务点 
001_subcliente										= 子客户端 
001_ticketcontado									= 票务计数 
001_totalcontado									= 总计数 
001_gpbcontado										= 计数 
001_gpbdatosbulto									= 资料袋 
001_gpbdatosparcial									= 部分数据和IAC 
001_gpbdatosiac										= 数据IAC 
001_validarprecintobulto							= 密封袋应予以通报。 
001_validarprecintoparcial							= O Precinto da sangria deve ser informado.
001_bultoinexitente									= 无效或不发送创世记袋。 
CONTEO_001_ParcialNoCargado								= Sangria não foi carregada em Carga Previa
CONTEO_001_parcialinexistente								= Sangria inválida ou não enviada ao Genesis.
CONTEO_001_parcialapurada							= A sangria procurada está sendo apurada.
CONTEO_001_MSG_PantallaConteoLibre					= A remessa tem a caracteristica de contagem livre e deverá ser consultada atraves da tela contagem por sangria.
CONTEO_001_MSG_PantallaConteoNormal					= A remessa não tem a caracteristica de contagem livre e deverá ser consultada atraves da tela contagem default.
CONTEO_001_MSG_ContarParcial						= É obrigatório contar ao menos um parcial.
001_bultoasignadootropuesto							= 另一篇文章是与所选袋。 
001_bultoprocesadootropuesto						= 所选袋已经被起诉后。 
001_bultorealizado									= 已经选定袋处理和支付。 
001_errodivisasbulto								= 一种或多种货币的过程中未正确设置后的文件中的货币。 {1} {0}请货币： 
001_errodenominaciondeclarada						= 一个或多个名称配置不正确，宣布在文件的外汇头寸。 {1} {0}请检查名称： 
001_trabajoencursodistinto							= 新袋的特点是独立的从袋中这袋进行计数之前，你必须先完全排空气体。现在要执行交货值？ 
001_btnbillete										= 计票（F8） 
001_btncerrarbulto									= 关闭袋（F6） 
001_btncerrarparcial								= 关闭部分（F5） 
001_btncerrarremesa									= 关闭航运（F6） 
001_btnconsulta										= 咨询（F1） 
001_btndispositivo									= 设备（F1） 
001_btnentregar										= 交付（F3） 
001_btninfo											= 信息（F7） 
001_btninicioconteo									= 开始计数（F2） 
001_btnlimpiarconteo								= 清除计数（F12） 
001_btnmoneda										= 告诉货币（F9） 
001_btnparcializar									= ＆Partialize“ 
001_btnpausa										= 暂停（F10） 
001_btnsalir										= 退出（F11） 
001_parcialmenor									= 部分数量不能低于总部分已计算。 
001_parcialcero 									= 数目的部分必须是大于零。 
001_msgsalir										= 真的要退出屏幕计数？ 
001_msglimpiar										= 难道你真的想清除屏幕计数？ 
001_parcialinexistente								= 有没有（米）部分（S）。 
001_telaEmProcesodeContagem 						= 屏幕不能被关闭，当计数开始。 
001_precintoDiferenteDoBultoCorrente 				= 通知的代码袋是不同的代码咨询。 
001_idDiferenteRemesaCorrente						= 装运外部修改，必须重新充电。 
001_secuenciatrabajobulto							= 工作序列袋通报。 
001_btnmodparciales									= 并购部分odificar的 
001_btncomsupervisor								= 注释和监事 
001_btninfdeclarados								= 通知空气宣称 
001_msgrechazarremesa								= 货物将被拒绝了，因为袋子有过程和/或不同的特点。 
001_bultorechazado									= 所选袋已经被拒绝。 
001_btnConsTickets									= 请参阅门票 
001_btnAgregarDivisas								= 阿格雷和噶尔货币 
001_btnRechazarBulto								= 拒绝袋 
001_btnRechazarConteo								= RE＆jeitar计数 
001_btnRetirarValores								= 删除与价值观 
001_msgRechazarBulto								= 这袋不能被拒绝。 
001_ConfirmaRechazarConteo							= 难道你真的想拒绝计数？ 
001_ConfirmaRechazarBulto							= 难道你真的想拒绝眼袋？ 
001_msgRechazarConteo								= 此计数不能被拒绝。 
001_msgParcialNoSeleccionado						= 被选定为计数的任何部分。 
001_ValoresAEntregar 								= 屏幕不能被关闭，当有值删除。 
001_btnEliminarParcial								= EL＆iminar出血 
001_btnActualizarRecuento						 	= 刷新＆扎尔计数 
001_btnImportarNumSerie                             = 进口Num.Série 
001_remesareabierta									= 无法看到发货至今已重开，待修正。 
001_remesapendientecambio							= 是算不准，因为囊袋待交换。 
001_remesaeliminada									= 这是不允许计数当前小袋，因为袋除去。 
001_remesabultosustituto							= package不可計數
001_remesaSip										= 这是算不准这个小袋，小袋会算作为SIP系统。 
001_btnMasBotones									= 更多 (按Ctrl+ B)
001_msgRemesaNoReabierta							= 选择的装运不再重新开放。 
001_btnDatosIac										= 数据和IAC 
001_msgSinRegistroTira								= 注册地带未实现ATM与装运相关咨询。 
001_btnActualizarParametros							= 刷新参数 
001_msg_noEsPosibleCerrarBulto						= 无法关闭袋，因为有部分加载的值。 
001_msg_cerrar_bulto								= 要关闭的包装袋吗？ 
001_msg_no_hay_dinero_suelto						= 有金钱松袋？ 
001_msg_parcial_ya_procesada						= 先前已被记录，数据出血。 
001_msg_reporte_diferencias							= 无法生成差异报告 
001_msg_parciales_pendientes						= 有部分待要算。 
001_msg_bulto_no_recuperado							= 没有发现密封袋这段代码，你想要得到的是不是已经在建袋汇款？ 
